alert_id,timestamp,source_tool,alert_category,severity,affected_asset,user,source_ip,alert_description
ALT-0100,2024-05-16 03:45:11,Wazuh-FIM,Brute Force Attack,High,laptop-sales-01,accountant2,172.67.0.0,Brute-force SSH/RDP attack detected against laptop-sales-01 from external IP 172.67.0.0.
ALT-0101,2024-04-04 20:56:16,Suricata,Lateral Movement,High,workstation-hr-01,accountant1,77.88.55.66,SMB lateral movement detected: accountant1 connecting from 77.88.55.66 to internal hosts.
ALT-0102,2024-01-19 01:39:36,Wazuh-FIM,Brute Force Attack,High,pos-terminal-01,service_account,192.168.1.11,Brute-force SSH/RDP attack detected against pos-terminal-01 from external IP 192.168.1.11.
ALT-0103,2024-03-12 15:45:35,Wazuh-SCA,Brute Force Attack,High,pos-terminal-02,accountant1,172.67.0.0,Brute-force SSH/RDP attack detected against pos-terminal-02 from external IP 172.67.0.0.
ALT-0104,2024-05-16 11:32:29,Wazuh-SCA,Lateral Movement,Critical,workstation-acct-01,service_account,192.168.1.32,SMB lateral movement detected: service_account connecting from 192.168.1.32 to internal hosts.
ALT-0105,2024-03-02 06:33:36,Wazuh-HIDS,Suspicious Process Execution,High,db-server-01,accountant1,198.51.100.23,Suspicious process spawned by accountant1 on db-server-01: cmd.exe -> powershell -enc ...
ALT-0106,2024-05-20 16:48:39,Suricata,Policy Violation,Low,web-server-01,accountant1,192.168.1.27,USB mass-storage device inserted by accountant1 on web-server-01 outside approved hours.
ALT-0107,2024-02-04 20:15:29,Wazuh-FIM,Lateral Movement,Critical,erp-server-01,accountant1,91.108.4.0,SMB lateral movement detected: accountant1 connecting from 91.108.4.0 to internal hosts.
ALT-0108,2024-02-26 17:27:19,Sysmon,Authentication Failure,Low,db-server-01,admin,192.168.1.45,Multiple failed login attempts detected for user admin on db-server-01 from 192.168.1.45.
ALT-0109,2024-04-02 22:58:11,Wazuh-SCA,Malware Detected,Critical,erp-server-01,admin,192.168.1.40,Wazuh detected malware signature on erp-server-01. File flagged by ClamAV/YARA rule.
ALT-0110,2024-01-23 03:41:04,Wazuh-HIDS,Data Exfiltration Attempt,High,fin-server-01,accountant2,192.168.1.40,Large outbound transfer (>500 MB) detected from fin-server-01 by user accountant2 to 192.168.1.40.
ALT-0111,2024-01-30 11:05:56,Wazuh-NIDS,Firewall Rule Violation,Medium,erp-server-01,ceo,192.168.1.13,Traffic from 192.168.1.13 to erp-server-01 violated firewall policy on port 3389/22.
ALT-0112,2024-04-27 17:38:42,Suricata,Reconnaissance / Port Scan,Medium,erp-server-01,accountant1,77.88.55.66,Port scan from 77.88.55.66 targeting internal subnet; erp-server-01 probed on 1024+ ports.
ALT-0113,2024-02-27 17:45:57,Suricata,Reconnaissance / Port Scan,Low,laptop-sales-01,it_support,162.158.0.1,Port scan from 162.158.0.1 targeting internal subnet; laptop-sales-01 probed on 1024+ ports.
ALT-0114,2024-05-28 02:36:45,Wazuh-NIDS,Firewall Rule Violation,Medium,workstation-mgmt-01,ceo,185.220.101.45,Traffic from 185.220.101.45 to workstation-mgmt-01 violated firewall policy on port 3389/22.
ALT-0115,2024-02-03 18:01:47,Suricata,Ransomware Indicator,Critical,db-server-01,guest_user,198.51.100.23,Mass file-rename with extension .enc detected on db-server-01. Possible ransomware.
ALT-0116,2024-04-01 05:57:03,Wazuh-FIM,Privilege Escalation,High,fin-server-01,sales_exec1,192.168.1.48,User sales_exec1 attempted to escalate privileges on fin-server-01 using sudo/runas.
ALT-0117,2024-01-14 19:43:18,Sysmon,Authentication Failure,Low,db-server-01,service_account,162.158.0.1,Multiple failed login attempts detected for user service_account on db-server-01 from 162.158.0.1.
ALT-0118,2024-03-23 13:17:28,Wazuh-HIDS,Brute Force Attack,High,laptop-sales-01,SYSTEM,192.168.1.22,Brute-force SSH/RDP attack detected against laptop-sales-01 from external IP 192.168.1.22.
ALT-0119,2024-01-14 20:47:38,Wazuh-HIDS,Lateral Movement,High,pos-terminal-01,fin_manager,192.168.1.19,SMB lateral movement detected: fin_manager connecting from 192.168.1.19 to internal hosts.
ALT-0120,2024-03-26 06:36:12,Wazuh-HIDS,Malware Detected,Critical,workstation-mgmt-01,service_account,192.168.1.28,Wazuh detected malware signature on workstation-mgmt-01. File flagged by ClamAV/YARA rule.
ALT-0121,2024-04-14 20:29:47,Wazuh-SCA,Unauthorised File Access,High,pos-terminal-02,sales_exec1,192.168.1.42,User sales_exec1 accessed restricted directory /finance/payroll on pos-terminal-02.
ALT-0122,2024-04-27 05:30:34,Wazuh-FIM,Unauthorised File Access,Medium,workstation-mgmt-01,admin,192.168.1.30,User admin accessed restricted directory /finance/payroll on workstation-mgmt-01.
ALT-0123,2024-04-24 00:11:28,Wazuh-HIDS,Authentication Failure,Low,web-server-01,guest_user,192.168.1.46,Multiple failed login attempts detected for user guest_user on web-server-01 from 192.168.1.46.
ALT-0124,2024-04-01 08:41:33,Suricata,Ransomware Indicator,Critical,workstation-mgmt-01,admin,192.168.1.21,Mass file-rename with extension .enc detected on workstation-mgmt-01. Possible ransomware.
ALT-0125,2024-03-25 15:22:16,Sysmon,Ransomware Indicator,Critical,printer-office-01,accountant2,172.67.0.0,Mass file-rename with extension .enc detected on printer-office-01. Possible ransomware.
ALT-0126,2024-05-10 03:02:54,Wazuh-HIDS,Unauthorised File Access,Medium,workstation-acct-02,hr_officer,192.168.1.30,User hr_officer accessed restricted directory /finance/payroll on workstation-acct-02.
ALT-0127,2024-06-06 23:29:33,Suricata,Malware Detected,Critical,workstation-acct-01,service_account,192.168.1.35,Wazuh detected malware signature on workstation-acct-01. File flagged by ClamAV/YARA rule.
ALT-0128,2024-05-30 00:20:03,Wazuh-SCA,Authentication Failure,Medium,erp-server-01,hr_officer,185.220.101.45,Multiple failed login attempts detected for user hr_officer on erp-server-01 from 185.220.101.45.
ALT-0129,2024-02-06 10:11:52,Suricata,Lateral Movement,High,pos-terminal-01,it_support,192.168.1.13,SMB lateral movement detected: it_support connecting from 192.168.1.13 to internal hosts.
ALT-0130,2024-02-21 20:34:20,Suricata,Data Exfiltration Attempt,Critical,pos-terminal-01,sales_exec2,192.168.1.23,Large outbound transfer (>500 MB) detected from pos-terminal-01 by user sales_exec2 to 192.168.1.23.
ALT-0131,2024-05-02 08:06:59,Suricata,Malware Detected,Critical,workstation-acct-02,service_account,192.168.1.11,Wazuh detected malware signature on workstation-acct-02. File flagged by ClamAV/YARA rule.
ALT-0132,2024-01-19 02:23:10,Wazuh-NIDS,Brute Force Attack,Medium,db-server-01,it_support,77.88.55.66,Brute-force SSH/RDP attack detected against db-server-01 from external IP 77.88.55.66.
ALT-0133,2024-06-30 02:28:41,Sysmon,Privilege Escalation,Critical,erp-server-01,guest_user,192.168.1.41,User guest_user attempted to escalate privileges on erp-server-01 using sudo/runas.
ALT-0134,2024-03-29 16:46:45,Suricata,Suspicious Process Execution,High,workstation-acct-01,sales_exec2,192.168.1.25,Suspicious process spawned by sales_exec2 on workstation-acct-01: cmd.exe -> powershell -enc ...
ALT-0135,2024-06-16 18:39:26,Wazuh-HIDS,Malware Detected,Critical,web-server-01,ceo,192.168.1.18,Wazuh detected malware signature on web-server-01. File flagged by ClamAV/YARA rule.
ALT-0136,2024-02-24 22:07:30,Sysmon,Suspicious Process Execution,High,backup-server-01,SYSTEM,192.168.1.10,Suspicious process spawned by SYSTEM on backup-server-01: cmd.exe -> powershell -enc ...
ALT-0137,2024-03-08 00:23:38,Wazuh-FIM,Suspicious Process Execution,High,laptop-remote-01,fin_manager,192.168.1.40,Suspicious process spawned by fin_manager on laptop-remote-01: cmd.exe -> powershell -enc ...
ALT-0138,2024-04-21 00:46:12,Wazuh-SCA,Lateral Movement,Critical,workstation-acct-02,hr_officer,192.168.1.25,SMB lateral movement detected: hr_officer connecting from 192.168.1.25 to internal hosts.
ALT-0139,2024-03-15 23:15:26,Sysmon,Brute Force Attack,High,fin-server-01,hr_officer,192.168.1.34,Brute-force SSH/RDP attack detected against fin-server-01 from external IP 192.168.1.34.
ALT-0140,2024-03-05 11:12:26,Wazuh-HIDS,Ransomware Indicator,Critical,workstation-acct-02,admin,172.67.0.0,Mass file-rename with extension .enc detected on workstation-acct-02. Possible ransomware.
ALT-0141,2024-03-20 14:38:19,Sysmon,Unauthorised File Access,Medium,workstation-hr-01,sales_exec2,45.33.32.156,User sales_exec2 accessed restricted directory /finance/payroll on workstation-hr-01.
ALT-0142,2024-05-01 00:35:57,Sysmon,Malware Detected,High,workstation-acct-02,SYSTEM,192.168.1.31,Wazuh detected malware signature on workstation-acct-02. File flagged by ClamAV/YARA rule.
ALT-0143,2024-03-14 18:58:19,Wazuh-FIM,Firewall Rule Violation,Low,laptop-remote-01,hr_officer,192.168.1.44,Traffic from 192.168.1.44 to laptop-remote-01 violated firewall policy on port 3389/22.
ALT-0144,2024-02-15 14:06:31,Sysmon,Ransomware Indicator,Critical,laptop-remote-01,it_support,185.220.101.45,Mass file-rename with extension .enc detected on laptop-remote-01. Possible ransomware.
ALT-0145,2024-05-27 15:34:46,Sysmon,Ransomware Indicator,Critical,web-server-01,service_account,185.220.101.45,Mass file-rename with extension .enc detected on web-server-01. Possible ransomware.
ALT-0146,2024-01-09 22:20:00,Wazuh-FIM,Policy Violation,Low,workstation-acct-02,fin_manager,192.168.1.11,USB mass-storage device inserted by fin_manager on workstation-acct-02 outside approved hours.
ALT-0147,2024-04-13 03:24:52,Wazuh-SCA,Authentication Failure,Medium,backup-server-01,hr_officer,192.168.1.25,Multiple failed login attempts detected for user hr_officer on backup-server-01 from 192.168.1.25.
ALT-0148,2024-04-30 08:03:34,Sysmon,Reconnaissance / Port Scan,Low,dc-server-01,fin_manager,77.88.55.66,Port scan from 77.88.55.66 targeting internal subnet; dc-server-01 probed on 1024+ ports.
ALT-0149,2024-05-03 20:51:03,Wazuh-FIM,Brute Force Attack,High,printer-office-01,ceo,162.158.0.1,Brute-force SSH/RDP attack detected against printer-office-01 from external IP 162.158.0.1.
ALT-0150,2024-06-23 23:56:25,Wazuh-FIM,Unauthorised File Access,High,pos-terminal-01,admin,192.168.1.39,User admin accessed restricted directory /finance/payroll on pos-terminal-01.
ALT-0151,2024-02-28 02:09:35,Sysmon,Ransomware Indicator,Critical,erp-server-01,sales_exec2,192.168.1.47,Mass file-rename with extension .enc detected on erp-server-01. Possible ransomware.
ALT-0152,2024-06-14 16:49:53,Wazuh-SCA,Firewall Rule Violation,Medium,workstation-acct-02,accountant2,77.88.55.66,Traffic from 77.88.55.66 to workstation-acct-02 violated firewall policy on port 3389/22.
ALT-0153,2024-05-15 18:52:36,Wazuh-FIM,Privilege Escalation,High,workstation-acct-01,ceo,203.0.113.77,User ceo attempted to escalate privileges on workstation-acct-01 using sudo/runas.
ALT-0154,2024-06-25 19:46:57,Suricata,Authentication Failure,Medium,db-server-01,admin,192.168.1.13,Multiple failed login attempts detected for user admin on db-server-01 from 192.168.1.13.
ALT-0155,2024-04-27 21:07:40,Wazuh-FIM,Policy Violation,Medium,laptop-remote-01,accountant2,192.168.1.24,USB mass-storage device inserted by accountant2 on laptop-remote-01 outside approved hours.
ALT-0156,2024-05-01 23:50:54,Wazuh-HIDS,Brute Force Attack,Medium,workstation-mgmt-01,accountant2,192.168.1.18,Brute-force SSH/RDP attack detected against workstation-mgmt-01 from external IP 192.168.1.18.
ALT-0157,2024-03-11 20:22:35,Sysmon,Ransomware Indicator,Critical,db-server-01,SYSTEM,192.168.1.47,Mass file-rename with extension .enc detected on db-server-01. Possible ransomware.
ALT-0158,2024-02-04 02:32:31,Wazuh-NIDS,Malware Detected,High,printer-office-01,accountant2,77.88.55.66,Wazuh detected malware signature on printer-office-01. File flagged by ClamAV/YARA rule.
ALT-0159,2024-02-19 21:34:02,Wazuh-SCA,Malware Detected,Critical,workstation-hr-01,it_support,192.168.1.20,Wazuh detected malware signature on workstation-hr-01. File flagged by ClamAV/YARA rule.
ALT-0160,2024-01-28 07:58:30,Wazuh-NIDS,Suspicious Process Execution,High,laptop-sales-01,sysadmin,192.168.1.14,Suspicious process spawned by sysadmin on laptop-sales-01: cmd.exe -> powershell -enc ...
ALT-0161,2024-06-02 12:50:42,Wazuh-SCA,Ransomware Indicator,Critical,laptop-remote-01,SYSTEM,192.168.1.15,Mass file-rename with extension .enc detected on laptop-remote-01. Possible ransomware.
ALT-0162,2024-04-23 12:14:50,Wazuh-SCA,Authentication Failure,Medium,workstation-hr-01,sysadmin,192.168.1.26,Multiple failed login attempts detected for user sysadmin on workstation-hr-01 from 192.168.1.26.
ALT-0163,2024-04-30 07:17:51,Suricata,Ransomware Indicator,Critical,erp-server-01,guest_user,103.45.67.89,Mass file-rename with extension .enc detected on erp-server-01. Possible ransomware.
ALT-0164,2024-06-25 14:03:12,Sysmon,Data Exfiltration Attempt,High,pos-terminal-01,sysadmin,192.168.1.39,Large outbound transfer (>500 MB) detected from pos-terminal-01 by user sysadmin to 192.168.1.39.
ALT-0165,2024-02-29 02:26:30,Wazuh-SCA,Suspicious Process Execution,High,erp-server-01,fin_manager,103.45.67.89,Suspicious process spawned by fin_manager on erp-server-01: cmd.exe -> powershell -enc ...
ALT-0166,2024-03-13 01:02:20,Sysmon,Privilege Escalation,High,web-server-01,it_support,162.158.0.1,User it_support attempted to escalate privileges on web-server-01 using sudo/runas.
ALT-0167,2024-05-07 04:09:26,Wazuh-HIDS,Policy Violation,Medium,workstation-mgmt-01,service_account,192.168.1.36,USB mass-storage device inserted by service_account on workstation-mgmt-01 outside approved hours.
ALT-0168,2024-03-27 02:18:53,Wazuh-SCA,Unauthorised File Access,High,db-server-01,admin,192.168.1.23,User admin accessed restricted directory /finance/payroll on db-server-01.
ALT-0169,2024-01-12 18:11:01,Wazuh-SCA,Brute Force Attack,High,erp-server-01,guest_user,91.108.4.0,Brute-force SSH/RDP attack detected against erp-server-01 from external IP 91.108.4.0.
ALT-0170,2024-05-04 14:33:34,Sysmon,Suspicious Process Execution,Medium,erp-server-01,sales_exec2,198.51.100.23,Suspicious process spawned by sales_exec2 on erp-server-01: cmd.exe -> powershell -enc ...
ALT-0171,2024-06-01 19:35:01,Suricata,Reconnaissance / Port Scan,Low,fin-server-01,SYSTEM,45.33.32.156,Port scan from 45.33.32.156 targeting internal subnet; fin-server-01 probed on 1024+ ports.
ALT-0172,2024-02-11 22:24:22,Wazuh-NIDS,Brute Force Attack,Medium,laptop-remote-01,SYSTEM,192.168.1.47,Brute-force SSH/RDP attack detected against laptop-remote-01 from external IP 192.168.1.47.
ALT-0173,2024-01-26 05:48:26,Suricata,Data Exfiltration Attempt,High,laptop-sales-01,ceo,45.33.32.156,Large outbound transfer (>500 MB) detected from laptop-sales-01 by user ceo to 45.33.32.156.
ALT-0174,2024-01-03 21:15:14,Wazuh-FIM,Suspicious Process Execution,Medium,erp-server-01,guest_user,192.168.1.18,Suspicious process spawned by guest_user on erp-server-01: cmd.exe -> powershell -enc ...
ALT-0175,2024-05-24 00:39:24,Wazuh-SCA,Brute Force Attack,High,fin-server-01,fin_manager,45.33.32.156,Brute-force SSH/RDP attack detected against fin-server-01 from external IP 45.33.32.156.
ALT-0176,2024-04-09 15:51:44,Suricata,Lateral Movement,High,pos-terminal-02,sysadmin,192.168.1.33,SMB lateral movement detected: sysadmin connecting from 192.168.1.33 to internal hosts.
ALT-0177,2024-05-21 05:11:52,Sysmon,Privilege Escalation,Critical,workstation-hr-01,accountant1,192.168.1.12,User accountant1 attempted to escalate privileges on workstation-hr-01 using sudo/runas.
ALT-0178,2024-04-03 00:13:02,Wazuh-SCA,Lateral Movement,Critical,workstation-acct-02,guest_user,192.168.1.13,SMB lateral movement detected: guest_user connecting from 192.168.1.13 to internal hosts.
ALT-0179,2024-06-23 14:53:12,Wazuh-HIDS,Firewall Rule Violation,Low,workstation-acct-02,service_account,192.168.1.14,Traffic from 192.168.1.14 to workstation-acct-02 violated firewall policy on port 3389/22.
ALT-0180,2024-04-16 11:31:34,Sysmon,Data Exfiltration Attempt,High,erp-server-01,fin_manager,172.67.0.0,Large outbound transfer (>500 MB) detected from erp-server-01 by user fin_manager to 172.67.0.0.
ALT-0181,2024-04-27 13:29:36,Wazuh-SCA,Data Exfiltration Attempt,Critical,workstation-mgmt-01,it_support,104.21.0.0,Large outbound transfer (>500 MB) detected from workstation-mgmt-01 by user it_support to 104.21.0.0.
ALT-0182,2024-05-19 23:21:26,Wazuh-NIDS,Privilege Escalation,High,laptop-remote-01,guest_user,192.168.1.45,User guest_user attempted to escalate privileges on laptop-remote-01 using sudo/runas.
ALT-0183,2024-03-18 10:13:02,Wazuh-SCA,Firewall Rule Violation,Medium,printer-office-01,accountant1,192.168.1.39,Traffic from 192.168.1.39 to printer-office-01 violated firewall policy on port 3389/22.
ALT-0184,2024-03-13 16:22:09,Wazuh-NIDS,Policy Violation,Low,backup-server-01,sales_exec1,203.0.113.77,USB mass-storage device inserted by sales_exec1 on backup-server-01 outside approved hours.
ALT-0185,2024-03-24 20:41:25,Wazuh-HIDS,Ransomware Indicator,Critical,erp-server-01,sysadmin,192.168.1.15,Mass file-rename with extension .enc detected on erp-server-01. Possible ransomware.
ALT-0186,2024-04-19 01:10:56,Suricata,Policy Violation,Medium,laptop-sales-01,fin_manager,192.168.1.47,USB mass-storage device inserted by fin_manager on laptop-sales-01 outside approved hours.
ALT-0187,2024-06-17 13:36:09,Sysmon,Data Exfiltration Attempt,High,workstation-acct-01,hr_officer,192.168.1.37,Large outbound transfer (>500 MB) detected from workstation-acct-01 by user hr_officer to 192.168.1.37.
ALT-0188,2024-04-08 12:42:49,Wazuh-NIDS,Authentication Failure,Medium,workstation-mgmt-01,accountant2,172.67.0.0,Multiple failed login attempts detected for user accountant2 on workstation-mgmt-01 from 172.67.0.0.
ALT-0189,2024-03-12 08:57:31,Wazuh-HIDS,Malware Detected,Critical,web-server-01,sysadmin,104.21.0.0,Wazuh detected malware signature on web-server-01. File flagged by ClamAV/YARA rule.
ALT-0190,2024-04-29 03:27:31,Sysmon,Suspicious Process Execution,Medium,laptop-sales-01,sales_exec1,192.168.1.49,Suspicious process spawned by sales_exec1 on laptop-sales-01: cmd.exe -> powershell -enc ...
ALT-0191,2024-01-06 14:55:53,Wazuh-NIDS,Ransomware Indicator,Critical,workstation-mgmt-01,guest_user,192.168.1.27,Mass file-rename with extension .enc detected on workstation-mgmt-01. Possible ransomware.
ALT-0192,2024-06-17 21:51:14,Wazuh-NIDS,Suspicious Process Execution,High,printer-office-01,hr_officer,45.33.32.156,Suspicious process spawned by hr_officer on printer-office-01: cmd.exe -> powershell -enc ...
ALT-0193,2024-01-18 19:37:18,Sysmon,Reconnaissance / Port Scan,Medium,erp-server-01,fin_manager,192.168.1.11,Port scan from 192.168.1.11 targeting internal subnet; erp-server-01 probed on 1024+ ports.
ALT-0194,2024-03-12 20:34:20,Wazuh-FIM,Lateral Movement,High,workstation-acct-01,sales_exec1,192.168.1.20,SMB lateral movement detected: sales_exec1 connecting from 192.168.1.20 to internal hosts.
ALT-0195,2024-01-31 05:03:17,Wazuh-NIDS,Policy Violation,Medium,laptop-sales-01,ceo,192.168.1.13,USB mass-storage device inserted by ceo on laptop-sales-01 outside approved hours.
ALT-0196,2024-04-04 07:20:51,Suricata,Reconnaissance / Port Scan,Low,pos-terminal-01,sysadmin,77.88.55.66,Port scan from 77.88.55.66 targeting internal subnet; pos-terminal-01 probed on 1024+ ports.
ALT-0197,2024-03-08 00:37:19,Wazuh-SCA,Unauthorised File Access,High,db-server-01,accountant1,192.168.1.17,User accountant1 accessed restricted directory /finance/payroll on db-server-01.
ALT-0198,2024-05-09 13:03:47,Wazuh-FIM,Privilege Escalation,Critical,pos-terminal-01,guest_user,192.168.1.43,User guest_user attempted to escalate privileges on pos-terminal-01 using sudo/runas.
ALT-0199,2024-02-28 12:42:57,Wazuh-NIDS,Authentication Failure,Low,workstation-acct-01,ceo,198.51.100.23,Multiple failed login attempts detected for user ceo on workstation-acct-01 from 198.51.100.23.
ALT-0200,2024-05-25 01:20:17,Wazuh-SCA,Malware Detected,Critical,db-server-01,hr_officer,162.158.0.1,Wazuh detected malware signature on db-server-01. File flagged by ClamAV/YARA rule.
